departement,prix
29,1.693
59,1.711
28,1.711
60,1.712
35,1.713
22,1.714
44,1.714
90,1.716
70,1.719
53,1.72
76,1.721
62,1.721
33,1.721
27,1.723
14,1.724
17,1.725
56,1.725
16,1.726
23,1.726
91,1.726
49,1.727
2,1.728
45,1.728
67,1.729
51,1.73
61,1.731
79,1.733
8,1.734
50,1.735
68,1.735
37,1.735
87,1.735
34,1.736
41,1.737
82,1.737
47,1.737
88,1.737
95,1.738
72,1.739
25,1.739
36,1.74
84,1.741
66,1.741
52,1.742
24,1.743
40,1.743
83,1.743
10,1.744
19,1.744
64,1.744
5,1.745
71,1.745
39,1.745
77,1.746
12,1.746
26,1.747
57,1.748
13,1.749
31,1.75
63,1.75
18,1.751
80,1.751
9,1.752
38,1.752
1,1.753
7,1.753
86,1.754
21,1.755
93,1.755
55,1.756
30,1.756
81,1.757
78,1.758
46,1.758
3,1.76
42,1.762
69,1.762
11,1.762
85,1.766
94,1.769
89,1.771
43,1.772
92,1.773
58,1.773
15,1.776
54,1.778
48,1.784
32,1.789
73,1.789
65,1.79
4,1.802
74,1.802
6,1.804
20,1.832
75,2.131
