commune,cp,adresse,prix,date
JOINVILLE,52300,Avenue de la Marne,1.579,2021-09-06 12:08:15+02:00
TOURNON-SUR-RHôNE,7300,RUE HELENE DE TOURNON,1.625,2025-09-10 14:34:18+02:00
CUERS,83390,91 rue de la merlette,1.635,2025-09-12 09:22:45+02:00
Seclin,59113,15 Route de Lille,1.635,2025-08-19 11:14:17+02:00
VANNES,56000,BOULEVARD DE LA PAIX,1.636,2025-09-01 17:42:47+02:00
Hennebont,56700,LA GARDELOUPE,1.637,2025-09-12 11:37:00+02:00
QUIMPER,29000,BLD FLANDRE DUNKERQUE,1.641,2025-08-25 11:31:12+02:00
Kervignac,56700,Le Champ de la Patience,1.643,2025-09-10 12:29:37+02:00
CASTILLON-LA-BATAILLE,33350,RUE JULES FERRY,1.648,2025-09-08 10:01:00+02:00
TULLE,19000,14 RUE DU DOCTEUR RAMON,1.648,2025-09-12 10:45:18+02:00
BOURBOURG,59630,CHEMIN DE LA VIEILLE COLME,1.649,2025-09-03 14:42:49+02:00
Salins-les-Bains,39110,13 AVENUE ARISTIDE BRIAND,1.649,2025-08-18 19:11:14+02:00
SANTES,59211,2 rue du coeur joyeux,1.649,2025-09-03 13:29:09+02:00
EVREUX,27000,BD. DE NORMANDIE,1.649,2025-07-15 13:55:38+02:00
CHAGNY,71150,Rue de Wissen,1.649,2025-09-12 12:40:04+02:00
